count communityType relAbundance media Family cumulative_abundance
79654 postAbxV1 0.371307505488922 mBHI Enterobacteriaceae 0.371307505488922
65796 postAbxV1 0.358627756641558 mBHI Enterobacteriaceae 0.72993526213048
71398 postAbxV1 0.314958754245886 mBHI Enterobacteriaceae 1.04489401637637
37470 postAbxV1 0.303084227810627 mBHI Enterobacteriaceae 1.34797824418699
53217 postAbxV1 0.234756716220389 mBHI Streptococcaceae 1.58273496040738
27071 postAbxV1 0.218969659222351 mBHI Streptococcaceae 1.80170461962973
39666 postAbxV1 0.216203547251262 mBHI Bacteroidaceae 2.017908166881
26412 postAbxV1 0.213639194687331 mBHI Bacteroidaceae 2.23154736156833
45392 postAbxV1 0.211595027106651 mBHI Bacteroidaceae 2.44314238867498
43142 postAbxV1 0.190312761921567 mBHI Bacteroidaceae 2.63345515059654
34902 postAbxV1 0.190236883128209 mBHI Streptococcaceae 2.82369203372475
35326 postAbxV1 0.164672319518187 mBHI Streptococcaceae 2.98836435324294
21539 postAbxV1 0.1004041524685 mBHI Lachnospiraceae 3.08876850571144
17880 postAbxV1 0.0788742335347832 mBHI Lachnospiraceae 3.16764273924622
14462 postAbxV1 0.0788265945733814 mBHI Lachnospiraceae 3.2464693338196
9426 postAbxV1 0.0762442468999992 mBHI Lachnospiraceae 3.3227135807196
10610 postAbxV1 0.0468040054700251 mBHI Bacteroidaceae 3.36951758618963
9873 postAbxV1 0.046023037156855 mBHI Oscillospiraceae 3.41554062334648
5512 postAbxV1 0.0445850083718221 mBHI Bacteroidaceae 3.46012563171831
5462 postAbxV1 0.0441805725193927 mBHI Oscillospiraceae 3.5043062042377
